request,pid,process,rss_mb,private_mb,system_used_mb
1,4136,ollama app.exe,46.2,55.9,22518.0
1,27604,llama-server.exe,7463.2,7991.7,22518.0
1,28936,ollama.exe,92.6,111.8,22518.0
2,4136,ollama app.exe,46.2,55.9,23856.9
2,27604,llama-server.exe,8829.4,9360.6,23856.9
2,28936,ollama.exe,91.7,110.9,23856.9
3,4136,ollama app.exe,46.2,55.9,25332.4
3,27604,llama-server.exe,10313.9,10848.1,25332.4
3,28936,ollama.exe,91.9,111.1,25332.4
4,4136,ollama app.exe,46.2,55.9,26948.8
4,27604,llama-server.exe,11914.0,12451.2,26948.8
4,28936,ollama.exe,93.1,112.2,26948.8
5,4136,ollama app.exe,46.2,55.9,27614.5
5,27604,llama-server.exe,12775.8,13314.8,27614.5
5,28936,ollama.exe,93.0,112.1,27614.5
6,4136,ollama app.exe,46.2,55.9,28199.9
6,27604,llama-server.exe,13507.1,14047.5,28199.9
6,28936,ollama.exe,90.0,109.2,28199.9
7,4136,ollama app.exe,46.1,55.8,28826.5
7,27604,llama-server.exe,14244.4,14786.3,28826.5
7,28936,ollama.exe,89.5,108.5,28826.5
8,4136,ollama app.exe,46.1,55.8,28610.3
8,27604,llama-server.exe,14981.0,15524.9,28610.3
8,28936,ollama.exe,92.4,111.4,28610.3
9,4136,ollama app.exe,46.1,55.8,29566.4
9,27604,llama-server.exe,15952.6,16498.5,29566.4
9,28936,ollama.exe,92.1,111.2,29566.4
10,4136,ollama app.exe,46.1,55.8,30471.7
10,27604,llama-server.exe,16924.1,17471.9,30471.7
10,28936,ollama.exe,92.9,111.9,30471.7
11,4136,ollama app.exe,46.1,55.8,30687.2
11,27604,llama-server.exe,17113.0,17661.2,30687.2
11,28936,ollama.exe,93.1,112.1,30687.2
12,4136,ollama app.exe,46.1,55.8,30801.4
12,27604,llama-server.exe,17236.3,17784.8,30801.4
12,28936,ollama.exe,93.4,112.5,30801.4
