request,pid,process,rss_mb,private_mb,system_used_mb
1,4136,ollama app.exe,48.7,57.8,21849.8
1,25792,ollama.exe,91.2,113.3,21849.8
1,28936,ollama.exe,54.1,74.8,21849.8
1,29600,llama-server.exe,7027.6,11023.7,21849.8
2,4136,ollama app.exe,48.5,57.6,22058.7
2,25792,ollama.exe,92.2,114.2,22058.7
2,28936,ollama.exe,54.1,74.8,22058.7
2,29600,llama-server.exe,7211.5,11208.0,22058.7
3,4136,ollama app.exe,48.5,57.6,22241.9
3,25792,ollama.exe,90.6,112.6,22241.9
3,28936,ollama.exe,54.1,74.8,22241.9
3,29600,llama-server.exe,7395.0,11391.8,22241.9
4,4136,ollama app.exe,48.5,57.6,22403.7
4,25792,ollama.exe,93.0,115.1,22403.7
4,28936,ollama.exe,54.1,74.8,22403.7
4,29600,llama-server.exe,7578.4,11575.5,22403.7
5,4136,ollama app.exe,48.5,57.6,22605.9
5,25792,ollama.exe,89.8,111.8,22605.9
5,28936,ollama.exe,54.1,74.8,22605.9
5,29600,llama-server.exe,7760.9,11758.3,22605.9
6,4136,ollama app.exe,48.5,57.6,22805.7
6,25792,ollama.exe,92.7,114.7,22805.7
6,28936,ollama.exe,54.1,74.8,22805.7
6,29600,llama-server.exe,7944.2,11941.9,22805.7
7,4136,ollama app.exe,48.5,57.6,22947.2
7,25792,ollama.exe,90.2,112.2,22947.2
7,28936,ollama.exe,54.1,74.8,22947.2
7,29600,llama-server.exe,8137.0,12135.1,22947.2
8,4136,ollama app.exe,48.5,57.6,23133.9
8,25792,ollama.exe,91.4,113.3,23133.9
8,28936,ollama.exe,54.1,74.8,23133.9
8,29600,llama-server.exe,8321.8,12320.2,23133.9
9,4136,ollama app.exe,48.5,57.6,23006.2
9,25792,ollama.exe,91.4,113.3,23006.2
9,28936,ollama.exe,54.1,74.8,23006.2
9,29600,llama-server.exe,8497.2,12495.9,23006.2
10,4136,ollama app.exe,48.5,57.6,23207.1
10,25792,ollama.exe,92.5,114.4,23207.1
10,28936,ollama.exe,54.1,74.8,23207.1
10,29600,llama-server.exe,8680.9,12679.8,23207.1
11,4136,ollama app.exe,48.5,57.6,23372.2
11,25792,ollama.exe,92.1,114.1,23372.2
11,28936,ollama.exe,54.1,74.8,23372.2
11,29600,llama-server.exe,8864.8,12864.1,23372.2
12,4136,ollama app.exe,48.5,57.6,23558.4
12,25792,ollama.exe,92.9,114.8,23558.4
12,28936,ollama.exe,54.1,74.8,23558.4
12,29600,llama-server.exe,9048.5,13048.1,23558.4
